,index,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
0,0,12000,merc, GLS Class,2017,Automatic,12046,Diesel,150.0,37.2,3.0,38000
1,1,12001,vw, Amarok,2017,Automatic,37683,Diesel,260.0,36.2,3.0,23495
2,2,12004,merc, GLS Class,2019,Automatic,10000,Diesel,145.0,34.0,3.0,59999
3,3,12013,skoda, Scala,2019,Manual,3257,Petrol,145.0,49.6,1.0,16713
4,4,12017,audi, RS6,2015,Semi-Auto,20982,Petrol,325.0,29.4,4.0,46000
5,5,12019,vauxhall, Combo Life,2020,Semi-Auto,1950,Petrol,145.0,40.4,1.2,24995
6,6,12020,merc, GL Class,2016,Manual,26809,Diesel,20.0,67.3,2.1,15699
7,7,12024,merc, CLS Class,2015,Semi-Auto,33087,Diesel,165.0,51.4,3.0,20498
8,8,12027,toyota, Prius,2019,Automatic,4793,Hybrid,140.0,64.2,1.8,23995
9,9,12028,vw, Amarok,2020,Automatic,5000,Diesel,265.0,33.6,3.0,34995
10,10,12029,vw, Amarok,2019,Automatic,12023,Diesel,260.0,28.3,3.0,32888
11,11,12034,vw, Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145.0,35.8,1.5,29990
12,12,12040,audi, RS6,2016,Automatic,41854,Petrol,325.0,29.4,4.0,49500
13,13,12041,merc, S Class,2018,Semi-Auto,39203,Diesel,145.0,52.3,3.0,34999
14,14,12042,vw, Beetle,2016,Manual,35345,Diesel,30.0,61.4,2.0,10990
15,15,12043,ford, Edge,2019,Automatic,10,Diesel,145.0,37.2,2.0,33000
16,16,12046,vw, Amarok,2020,Automatic,10000,Diesel,265.0,27.7,3.0,44980
17,17,12047,audi, RS3,2015,Automatic,15016,Petrol,300.0,34.9,2.5,28985
18,18,12048,ford, Fusion,2008,Automatic,66000,Petrol,260.0,37.2,1.6,2750
19,19,12049,bmw, 7 Series,2008,Automatic,70500,Diesel,325.0,35.3,3.0,6480
20,20,12052,ford, Galaxy,2019,Semi-Auto,3763,Diesel,145.0,54.3,2.0,27500
21,21,12054,toyota, Prius,2019,Automatic,4605,Hybrid,140.0,61.4,1.8,23490
22,22,12056,merc, S Class,2015,Semi-Auto,34434,Diesel,200.0,48.7,3.0,26498
23,23,12060,bmw, 6 Series,2017,Semi-Auto,3546,Diesel,145.0,48.7,3.0,32023
24,24,12064,merc, S Class,2019,Semi-Auto,2500,Diesel,145.0,52.3,3.0,55649
25,25,12069,hyundi, Santa Fe,2019,Semi-Auto,3920,Diesel,145.0,39.2,2.2,32995
26,26,12071,bmw, M5,2019,Semi-Auto,2269,Petrol,145.0,24.1,4.4,89900
27,27,12073,ford, Edge,2019,Automatic,21457,Diesel,145.0,37.2,2.0,30000
28,28,12076,ford, Edge,2019,Automatic,10,Diesel,145.0,37.2,2.0,30990
29,29,12081,ford, Grand C-MAX,2017,Manual,16509,Petrol,30.0,54.3,1.0,12000
30,30,12082,bmw, 6 Series,2016,Automatic,37868,Diesel,160.0,51.4,3.0,18737
31,31,12083,toyota, Prius,2017,Automatic,8943,Hybrid,0.0,94.1,1.8,20995
32,32,12088,hyundi, IX20,2017,Manual,32663,Diesel,30.0,64.2,1.6,8769
33,33,12091,toyota, Hilux,2016,Manual,28521,Diesel,260.0,40.4,2.4,19990
34,34,12095,merc, GL Class,2018,Manual,15202,Petrol,145.0,48.7,1.6,19399
35,35,12096,merc, X-CLASS,2018,Manual,14243,Diesel,260.0,37.2,2.3,18991
36,36,12100,bmw, X4,2016,Semi-Auto,13005,Diesel,145.0,54.3,2.0,26995
37,37,12102,ford, Puma,2020,Manual,1543,Petrol,145.0,50.4,1.0,21495
38,38,12103,merc, S Class,2018,Semi-Auto,3796,Petrol,145.0,31.7,4.0,104400
39,39,12116,ford, Edge,2019,Automatic,12607,Diesel,145.0,37.2,2.0,32000
40,40,12119,bmw, X7,2019,Semi-Auto,5600,Diesel,150.0,33.6,3.0,67400
41,41,12122,toyota, Avensis,2016,Manual,41257,Diesel,20.0,67.3,1.6,8420
42,42,12129,ford, Grand C-MAX,2016,Manual,36706,Diesel,30.0,61.4,2.0,12295
43,43,12133,ford, Edge,2018,Semi-Auto,3420,Diesel,145.0,37.2,2.0,29000
44,44,12136,toyota, Land Cruiser,2020,Semi-Auto,3390,Diesel,145.0,30.1,2.8,50995
45,45,12138,skoda, Kamiq,2019,Automatic,3985,Petrol,145.0,44.1,1.5,21995
46,46,12141,audi, A8,2018,Automatic,10296,Diesel,145.0,50.4,3.0,37000
47,47,12142,vw, Shuttle,2018,Manual,9289,Diesel,145.0,46.3,2.0,21999
48,48,12151,vw, CC,2015,Manual,36602,Diesel,30.0,62.8,2.0,11292
49,49,12153,vw, Scirocco,2017,Manual,20491,Diesel,20.0,55.4,2.0,14881
50,50,12155,bmw, M2,2019,Automatic,2689,Petrol,145.0,29.1,3.0,43480
51,51,12158,ford, Puma,2019,Manual,2233,Petrol,145.0,51.4,1.0,18990
52,52,12160,hyundi, I800,2017,Automatic,41469,Diesel,145.0,33.6,2.5,13500
53,53,12166,toyota, Hilux,2020,Automatic,1259,Diesel,265.0,2.8,2.4,39257
54,54,12167,vw, Arteon,2018,Semi-Auto,23000,Diesel,145.0,55.4,2.0,22490
55,55,12173,audi, A7,2017,Semi-Auto,56460,Diesel,160.0,52.3,3.0,21500
56,56,12179,ford, Galaxy,2016,Manual,16407,Diesel,125.0,56.5,2.0,17000
57,57,12180,skoda, Kamiq,2020,Automatic,228,Petrol,145.0,44.1,1.5,18990
58,58,12181,hyundi, I40,2019,Manual,10,Diesel,145.0,52.3,1.6,16500
59,59,12182,audi, A7,2011,Semi-Auto,72000,Petrol,300.0,34.4,3.0,12950
60,60,12183,skoda, Yeti,2013,Semi-Auto,38000,Petrol,165.0,44.1,1.2,8495
61,61,12184,hyundi, IX35,2013,Manual,25892,Diesel,145.0,48.7,1.7,8799
62,62,12186,bmw, X4,2020,Automatic,5000,Diesel,145.0,40.9,3.0,44495
63,63,12187,ford, Edge,2017,Manual,19726,Diesel,160.0,48.7,2.0,20479
64,64,12191,merc, V Class,2018,Automatic,3067,Diesel,145.0,44.8,2.2,42134
65,65,12193,ford, Mustang,2016,Automatic,18500,Petrol,570.0,23.5,5.0,28490
66,66,12196,merc, GL Class,2016,Automatic,16489,Diesel,125.0,56.5,2.1,19699
67,67,12199,ford, Grand C-MAX,2017,Manual,31976,Diesel,30.0,61.4,2.0,13299
68,68,12201,bmw, Z4,2019,Automatic,2756,Petrol,145.0,33.2,3.0,40000
69,69,12203,ford, Edge,2017,Semi-Auto,36000,Diesel,160.0,48.7,2.0,18490
70,70,12208,skoda, Kamiq,2019,Semi-Auto,2200,Petrol,145.0,44.1,1.5,22001
71,71,12210,vauxhall, Combo Life,2019,Manual,12000,Diesel,145.0,53.3,1.5,18299
72,72,12211,ford, Puma,2020,Manual,3000,Petrol,145.0,50.4,1.0,22975
73,73,12219,ford, Edge,2017,Manual,38778,Diesel,160.0,48.7,2.0,17295
74,74,12220,skoda, Kamiq,2019,Semi-Auto,4750,Petrol,145.0,45.6,1.0,19495
75,75,12224,bmw, M4,2018,Automatic,3033,Petrol,145.0,33.6,3.0,51000
76,76,12228,toyota, Supra,2019,Semi-Auto,500,Petrol,145.0,34.5,3.0,49994
77,77,12231,hyundi, Santa Fe,2014,Manual,50425,Diesel,200.0,46.3,2.2,11830
78,78,12232,merc, CLS Class,2018,Semi-Auto,11461,Diesel,145.0,57.7,2.1,24775
79,79,12233,bmw, X7,2019,Semi-Auto,2881,Diesel,145.0,33.6,3.0,66000
80,80,12235,merc, CLS Class,2018,Semi-Auto,8673,Petrol,145.0,36.2,3.0,41112
81,81,12238,toyota, Prius,2017,Automatic,37564,Hybrid,140.0,85.6,1.8,18799
82,82,12245,merc, V Class,2019,Automatic,9,Diesel,145.0,36.2,2.0,45395
83,83,12247,bmw, 6 Series,2019,Automatic,35,Petrol,145.0,29.1,3.0,39146
84,84,12248,vw, Caravelle,2019,Automatic,2000,Diesel,150.0,33.6,2.0,40000
85,85,12250,merc, GL Class,2018,Automatic,12471,Petrol,145.0,50.4,1.6,19999
86,86,12254,audi, A7,2019,Semi-Auto,20,Diesel,145.0,38.2,2.0,39950
87,87,12256,toyota, Verso,2017,Automatic,22512,Petrol,200.0,42.8,1.8,14291
88,88,12258,hyundi, IX35,2015,Manual,46573,Diesel,145.0,53.3,1.7,8420
89,89,12259,bmw, X4,2019,Automatic,3170,Petrol,145.0,26.9,3.0,40000
90,90,12264,skoda, Yeti,2017,Manual,16000,Petrol,125.0,51.4,1.2,11995
91,91,12265,ford, Galaxy,2018,Manual,19033,Diesel,145.0,56.5,2.0,17900
92,92,12266,vw, Amarok,2018,Automatic,24000,Diesel,260.0,36.2,3.0,26990
93,93,12268,merc, GLB Class,2020,Semi-Auto,349,Diesel,145.0,46.3,2.0,39980
94,94,12270,audi, A8,2015,Automatic,25406,Diesel,160.0,49.6,3.0,19870
95,95,12274,ford, Puma,2020,Manual,2477,Petrol,145.0,50.4,1.0,19990
96,96,12276,skoda, Kamiq,2019,Automatic,4671,Petrol,150.0,43.5,1.5,20799
97,97,12277,toyota, Avensis,2016,Manual,40889,Diesel,20.0,67.3,1.6,11495
98,98,12279,ford, Galaxy,2017,Manual,8204,Diesel,145.0,56.5,2.0,19223
99,99,12283,audi, S3,2017,Semi-Auto,26500,Petrol,150.0,43.5,2.0,23950
100,100,12284,audi, RS3,2017,Semi-Auto,17552,Petrol,145.0,34.0,2.5,38995
101,101,12287,ford, Mustang,2018,Automatic,3000,Petrol,145.0,28.8,2.3,29998
102,102,12289,audi, RS6,2017,Semi-Auto,13051,Petrol,150.0,29.4,4.0,56950
103,103,12291,skoda, Kamiq,2020,Manual,1927,Petrol,145.0,47.9,1.0,17799
104,104,12292,merc, X-CLASS,2019,Automatic,40,Diesel,260.0,31.4,3.0,32500
105,105,12295,vw, Beetle,2014,Semi-Auto,17162,Diesel,160.0,50.4,2.0,14990
106,106,12298,ford, Galaxy,2019,Semi-Auto,9770,Diesel,145.0,54.3,2.0,24479
107,107,12299,merc, M Class,2015,Automatic,50408,Diesel,200.0,39.2,2.1,19940
108,108,12300,merc, CLS Class,2018,Semi-Auto,14130,Diesel,150.0,48.7,2.9,31796
109,109,12309,ford, Galaxy,2013,Manual,67000,Diesel,145.0,49.6,2.0,9290
110,110,12311,toyota, Prius,2017,Automatic,27203,Hybrid,0.0,85.6,1.8,20495
111,111,12312,hyundi, IX20,2016,Automatic,31000,Petrol,165.0,43.5,1.6,9350
112,112,12314,ford, Grand C-MAX,2017,Manual,28958,Diesel,30.0,64.2,1.5,10500
113,113,12318,vauxhall, Agila,2011,Manual,25669,Petrol,30.0,55.4,1.2,4655
114,114,12320,merc, S Class,2019,Semi-Auto,5961,Diesel,145.0,52.3,3.0,54599
115,115,12321,ford, KA,2013,Manual,40000,Petrol,30.0,57.7,1.2,4500
116,116,12324,merc, X-CLASS,2018,Automatic,7820,Diesel,260.0,31.4,3.0,38995
117,117,12325,vw, Shuttle,2019,Semi-Auto,10074,Diesel,145.0,32.8,2.0,28000
118,118,12326,ford, KA,2018,Manual,6878,Petrol,145.0,57.7,1.2,8700
119,119,12328,ford, Tourneo Custom,2016,Manual,44233,Diesel,200.0,46.3,2.0,18798
120,120,12329,skoda, Scala,2019,Automatic,3572,Petrol,145.0,45.6,1.5,16295
121,121,12331,ford, Grand Tourneo Connect,2014,Manual,37381,Diesel,125.0,58.9,1.6,10995
122,122,12332,toyota, Land Cruiser,2015,Semi-Auto,27845,Diesel,300.0,38.2,2.8,31200
123,123,12333,ford, Grand Tourneo Connect,2016,Automatic,21576,Diesel,125.0,56.6,1.5,14000
124,124,12338,vw, Arteon,2017,Semi-Auto,13764,Petrol,145.0,47.1,2.0,20750
125,125,12346,ford, Galaxy,2018,Semi-Auto,31589,Diesel,145.0,52.3,2.0,19999
126,126,12354,ford, Galaxy,2019,Automatic,11112,Diesel,145.0,53.3,2.0,25999
127,127,12355,vw, Tiguan Allspace,2019,Semi-Auto,6000,Diesel,145.0,39.2,2.0,28490
128,128,12359,ford, Edge,2019,Semi-Auto,22,Diesel,145.0,37.2,2.0,32000
129,129,12360,bmw, X6,2016,Semi-Auto,25684,Petrol,570.0,25.4,4.4,44160
130,130,12362,ford, Grand C-MAX,2015,Manual,47182,Diesel,30.0,64.2,1.5,8498
131,131,12364,skoda, Yeti,2016,Automatic,6000,Petrol,125.0,51.4,1.2,13995
132,132,12365,merc, V Class,2019,Automatic,3179,Diesel,145.0,36.2,2.0,46995
133,133,12368,merc, CLS Class,2013,Automatic,56198,Diesel,200.0,46.3,3.0,14750
134,134,12373,vw, Amarok,2016,Automatic,58349,Diesel,260.0,35.3,2.0,16995
135,135,12376,skoda, Rapid,2016,Manual,59997,Diesel,0.0,74.3,1.6,6680
136,136,12378,vauxhall, Combo Life,2019,Manual,14500,Petrol,145.0,42.2,1.2,13995
137,137,12379,vw, Arteon,2019,Automatic,3000,Petrol,145.0,32.8,2.0,32399
138,138,12381,bmw, X4,2019,Semi-Auto,14404,Diesel,150.0,42.8,2.0,33998
139,139,12384,vw, Amarok,2016,Automatic,32990,Diesel,260.0,35.3,2.0,18850
140,140,12386,vauxhall, Antara,2012,Manual,49000,Diesel,235.0,44.8,2.2,7495
141,141,12388,merc, S Class,2017,Automatic,21000,Petrol,150.0,40.9,3.0,48990
142,142,12392,merc, S Class,2017,Automatic,31582,Diesel,150.0,50.4,3.0,28000
143,143,12401,hyundi, Santa Fe,2019,Semi-Auto,3837,Diesel,145.0,39.2,2.2,34495
144,144,12402,audi, RS5,2019,Automatic,9771,Petrol,145.0,29.7,2.9,54883
145,145,12405,ford, Grand C-MAX,2017,Manual,58111,Diesel,30.0,64.2,1.5,8691
146,146,12407,skoda, Scala,2019,Semi-Auto,4587,Petrol,145.0,45.6,1.5,19990
147,147,12410,hyundi, I40,2015,Semi-Auto,36831,Diesel,125.0,56.5,1.7,10498
148,148,12412,bmw, M4,2020,Automatic,5000,Petrol,145.0,34.0,3.0,53988
149,149,12415,vw, Beetle,2013,Manual,34803,Petrol,205.0,41.5,1.4,13189
150,150,12417,merc, V Class,2019,Automatic,2326,Diesel,145.0,45.6,2.2,47990
151,151,12422,vw, Caravelle,2020,Automatic,1001,Diesel,145.0,33.6,2.0,47000
152,152,12424,skoda, Scala,2019,Semi-Auto,95,Petrol,145.0,47.1,1.0,15985
153,153,12425,vw, Caravelle,2019,Automatic,7583,Diesel,145.0,32.8,2.0,39950
154,154,12429,ford, KA,2009,Manual,43000,Petrol,30.0,55.4,1.2,3250
155,155,12430,ford, Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
156,156,12432,skoda, Yeti,2011,Manual,93579,Diesel,200.0,46.3,2.0,5699
157,157,12434,merc, CLS Class,2016,Semi-Auto,28415,Diesel,160.0,51.4,3.0,21490
158,158,12436,audi, A8,2018,Semi-Auto,6588,Diesel,145.0,48.7,3.0,38995
159,159,12437,ford, Grand C-MAX,2016,Manual,17621,Diesel,30.0,64.2,1.5,10099
160,160,12442,toyota, PROACE VERSO,2020,Automatic,1255,Diesel,145.0,38.7,2.0,47990
161,161,12444,skoda, Rapid,2015,Semi-Auto,26357,Petrol,150.0,48.7,1.4,8500
162,162,12448,bmw, M2,2019,Semi-Auto,100,Petrol,145.0,29.1,3.0,47980
163,163,12449,ford, KA,2014,Manual,35000,Petrol,30.0,57.7,1.2,5480
164,164,12450,bmw, Z4,2020,Semi-Auto,13,Petrol,145.0,38.7,2.0,29490
165,165,12451,bmw, 7 Series,2019,Semi-Auto,7200,Diesel,150.0,42.2,3.0,46898
166,166,12452,ford, Edge,2019,Semi-Auto,1839,Diesel,145.0,37.2,2.0,31600
167,167,12453,toyota, Hilux,2018,Automatic,35041,Diesel,265.0,36.2,2.4,20998
168,168,12457,skoda, Rapid,2017,Manual,24451,Diesel,145.0,74.3,1.6,9424
169,169,12460,ford, KA,2014,Manual,51028,Petrol,30.0,57.7,1.2,4200
170,170,12465,vw, Scirocco,2015,Manual,20076,Diesel,20.0,55.4,2.0,14591
171,171,12467,ford, Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
172,172,12468,toyota, Avensis,2016,Manual,58260,Diesel,30.0,62.8,2.0,10995
173,173,12469,hyundi, Santa Fe,2018,Manual,7781,Diesel,145.0,47.1,2.2,20250
174,174,12474,ford, Grand Tourneo Connect,2019,Automatic,3942,Diesel,145.0,56.6,1.5,19500
175,175,12482,hyundi, I40,2014,Manual,63458,Diesel,30.0,62.8,1.7,6895
176,176,12485,merc, CLS Class,2016,Semi-Auto,30496,Diesel,160.0,51.4,3.0,21998
177,177,12487,toyota, Avensis,2014,Manual,58523,Diesel,30.0,61.4,2.0,7950
178,178,12501,hyundi, I40,2013,Manual,66300,Diesel,150.0,55.4,1.7,6495
179,179,12504,vauxhall, Combo Life,2019,Automatic,5278,Diesel,145.0,50.4,1.5,17995
180,180,12506,skoda, Scala,2019,Semi-Auto,5052,Petrol,150.0,45.6,1.5,16990
181,181,12507,toyota, Verso,2017,Manual,23850,Diesel,145.0,62.8,1.6,12995
182,182,12508,merc, CLS Class,2016,Automatic,39200,Diesel,125.0,57.7,2.1,17990
183,183,12511,hyundi, Santa Fe,2015,Semi-Auto,37854,Diesel,265.0,42.2,2.2,17290
184,184,12518,ford, Fusion,2006,Manual,69255,Petrol,200.0,43.5,1.4,2495
185,185,12521,ford, Grand C-MAX,2017,Manual,12628,Diesel,30.0,64.2,1.5,12698
186,186,12522,toyota, Hilux,2019,Manual,6500,Diesel,265.0,40.4,2.4,18695
187,187,12538,hyundi, I40,2014,Manual,38406,Diesel,30.0,62.8,1.7,7600
188,188,12542,ford, Galaxy,2013,Manual,54922,Diesel,260.0,41.5,2.2,11750
189,189,12545,ford, Edge,2017,Automatic,27146,Diesel,145.0,47.9,2.0,23899
190,190,12546,merc, CLK,2002,Automatic,98000,Petrol,325.0,24.6,5.0,3790
191,191,12547,bmw, X6,2013,Automatic,70650,Diesel,325.0,36.7,3.0,19795
192,192,12548,hyundi, Santa Fe,2017,Automatic,20599,Diesel,150.0,42.8,2.2,18999
193,193,12549,hyundi, I40,2017,Manual,21743,Diesel,145.0,65.7,1.7,11495
194,194,12551,vauxhall, Combo Life,2019,Manual,11200,Petrol,150.0,42.2,1.2,13498
195,195,12552,hyundi, IX20,2019,Manual,100,Petrol,145.0,37.2,1.6,14750
196,196,12553,merc, CLS Class,2018,Semi-Auto,5673,Diesel,145.0,48.7,2.9,33000
197,197,12554,hyundi, Santa Fe,2016,Automatic,51849,Diesel,235.0,42.2,2.2,15899
198,198,12556,hyundi, IX35,2012,Manual,64992,Petrol,205.0,41.5,1.6,5790
199,199,12557,merc, GLS Class,2017,Automatic,45239,Petrol,150.0,23.0,5.5,53000
200,200,12560,hyundi, Santa Fe,2015,Semi-Auto,38514,Diesel,265.0,42.2,2.2,16998
